phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz,alpha,utx,uty,utz,vtx,vty,vtz
0,0,0,0,0,-0.864541,0.489684,0.113043,-0.298967,-0.681926,0.667529,0.928391,-0.841404,-0.141624,-0.521519,-0.298967,-0.681926,0.667529
-0.0159748,-0.634062,-0.864541,0.489684,0.113043,-0.947348,0.304505,-0.09904,-0.291738,-0.693302,0.658955,0.928391,-0.673257,-0.340516,-0.656334,-0.291738,-0.693302,0.658955
0.398556,-0.235984,-1.81189,0.79419,0.0140027,-0.774525,-0.131318,-0.618762,-0.532547,-0.392479,0.749902,0.928391,-0.19075,-0.807544,-0.55811,-0.532547,-0.392479,0.749902
-0.453036,-0.109095,-2.58641,0.662872,-0.604759,-0.295723,-0.778348,-0.553826,-0.117889,-0.545589,0.82972,0.928391,0.581826,-0.715055,-0.387523,-0.117889,-0.545589,0.82972
0.567555,0.253357,-2.88214,-0.115476,-1.15858,0.717451,-0.673366,-0.178442,-0.532003,-0.695006,0.483673,0.928391,0.789903,-0.201599,0.579147,-0.532003,-0.695006,0.483673
0.038634,-0.25489,-2.16468,-0.788842,-1.33703,0.846409,-0.362204,0.390385,-0.519825,-0.721144,0.457966,0.928391,0.414509,0.25583,0.873346,-0.519825,-0.721144,0.457966
-0.0212582,-0.243909,-1.31828,-1.15105,-0.946641,0.579922,0.0891105,0.809784,-0.535586,-0.707296,0.461389,0.928391,-0.144056,0.614872,0.775358,-0.535586,-0.707296,0.461389
0.188263,-0.145609,-0.738354,-1.06194,-0.136858,-0.00938644,0.577856,0.816085,-0.370391,-0.760079,0.533939,0.928391,-0.749297,0.584209,0.311856,-0.370391,-0.760079,0.533939
0.392154,0.19182,-0.747741,-0.48408,0.679227,-0.859254,0.46798,0.206583,-0.13247,-0.593623,0.793765,-0.928391,-0.119195,0.804552,0.581797,-0.13247,-0.593623,0.793765
-0.932819,0.0030771,-1.60699,-0.0160994,0.88581,-0.120671,0.805984,0.579508,-0.86934,-0.367637,0.33029,0.928391,-0.456017,0.854334,-0.249322,-0.86934,-0.367637,0.33029
0.31156,0.181963,-1.72767,0.789884,1.46532,-0.529529,0.756558,-0.383692,-0.769085,-0.237324,0.593453,0.928391,-0.603826,-0.0346027,-0.796365,-0.769085,-0.237324,0.593453
0.273932,0.495395,-2.25719,1.54644,1.08163,-0.534245,-0.50526,-0.677713,-0.797091,0.034148,0.602893,0.928391,-0.0947132,-0.993112,-0.0689714,-0.797091,0.034148,0.602893
-0.316973,0.184453,-2.79144,1.04118,0.403913,0.0563942,-0.99775,0.0362509,-0.571495,-0.00248705,0.820602,0.928391,0.689257,-0.544136,0.478373,-0.571495,-0.00248705,0.820602
-0.550546,-0.823249,-2.73504,0.0434316,0.440164,-0.0290014,-0.895249,0.444622,-0.254075,0.436802,0.862931,0.928391,0.756659,-0.465953,0.458644,-0.254075,0.436802,0.862931
0.417011,-0.302127,-2.76405,-0.851817,0.884786,0.589117,-0.706828,0.39158,-0.4763,0.0877101,0.874897,0.928391,0.87558,0.138525,0.462785,-0.4763,0.0877101,0.874897
0.177154,0.489671,-2.17493,-1.55865,1.27637,0.695892,0.586226,0.414817,-0.454641,-0.0875062,0.886366,0.928391,-0.0281684,0.996077,0.0838891,-0.454641,-0.0875062,0.886366
0.284958,-0.533136,-1.47904,-0.972419,1.69118,0.474899,0.863917,0.167688,-0.186048,-0.0876803,0.978621,-0.928391,0.973208,0.120511,0.195817,-0.186048,-0.0876803,0.978621
-0.136216,0.0786484,-1.00414,-0.108502,1.85887,0.961668,0.198044,0.189667,-0.202671,0.047411,0.978098,0.928391,0.428264,0.902533,0.0449924,-0.202671,0.047411,0.978098
-0.473914,-0.217712,-0.0424705,0.089542,2.04854,0.567426,0.803643,0.179404,-0.582232,0.237515,0.777556,0.928391,-0.126237,0.918368,-0.375054,-0.582232,0.237515,0.777556
-0.1216,-0.178701,0.524956,0.893185,2.22794,0.00492858,0.964711,-0.263264,-0.675356,0.197366,0.710592,0.928391,-0.587512,0.438431,-0.680153,-0.675356,0.197366,0.710592
