beta=1
L=20
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,-0.108955,-0.990607,-0.0826189,-0.345696,0.115686,-0.931188
-0.000513838,0.121683,-0.108955,-0.990607,-0.0826189,0.0854988,-0.699148,0.709847,-0.302706,-0.697006,-0.65004
0.0290764,-0.0379135,-0.0234564,-1.68976,0.627228,-0.145062,-0.987108,-0.0676307,-0.229239,0.100025,-0.968217
0.0596008,0.102108,-0.168519,-2.67686,0.559597,-0.0130848,-0.686863,0.726669,-0.199211,-0.710372,-0.675046
-0.0922286,-0.0486183,-0.181603,-3.36373,1.28627,-0.115955,-0.990201,-0.0778225,-0.204953,0.100518,-0.973597
-0.00754188,0.117515,-0.297559,-4.35393,1.20844,-0.0280408,-0.684444,0.728526,-0.226419,-0.705521,-0.671546
0.00606932,0.095666,-0.325599,-5.03837,1.93697,-0.285791,-0.956945,-0.0507833,-0.114787,0.0867967,-0.989591
0.105317,0.0358127,-0.61139,-5.99532,1.88619,-0.125574,-0.661981,0.738927,-0.192696,-0.714363,-0.672721
-0.0545759,0.0220108,-0.736964,-6.6573,2.62511,-0.250082,-0.966619,-0.0557373,-0.0767293,0.0771709,-0.994061
0.0601866,0.0306176,-0.987046,-7.62392,2.56938,-0.127646,-0.661801,0.738733,-0.184142,-0.716063,-0.67331
0.127989,0.091553,-1.11469,-8.28572,3.30811,-0.311067,-0.948024,-0.0669979,0.107847,0.034829,-0.993557
0.0248019,-0.240779,-1.42576,-9.23374,3.24111,-0.0453845,-0.676858,0.734714,-0.150404,-0.722458,-0.674858
-0.0346174,-0.0596819,-1.47114,-9.9106,3.97582,-0.0864403,-0.993923,-0.0681517,-0.093527,0.0762015,-0.992696
-0.0298203,0.00928541,-1.55758,-10.9045,3.90767,0.00911399,-0.683749,0.729661,-0.155552,-0.721778,-0.674419
-0.0623375,0.190307,-1.54847,-11.5883,4.63733,-0.298323,-0.95397,-0.0307535,-0.166307,0.083681,-0.982517
0.145107,0.0204592,-1.84679,-12.5422,4.60658,-0.078504,-0.661453,0.745867,-0.197061,-0.723117,-0.662019
0.125879,-0.14182,-1.9253,-13.2037,5.35245,-0.0623627,-0.997357,-0.0372823,0.0601823,0.0335292,-0.997624
-0.122309,0.0413517,-1.98766,-14.201,5.31516,-0.126766,-0.646708,0.75213,-0.132057,-0.740495,-0.65896
0.0830375,0.065358,-2.11443,-14.8478,6.06729,-0.245918,-0.968261,-0.0446588,0.0968974,0.0212852,-0.995067
0.0649116,0.147267,-2.36034,-15.816,6.02264,-0.370031,-0.589684,0.717879,-0.0673013,-0.753682,-0.653784
