beta=1
L=20
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,0.617184,0.278645,0.735827,0.687073,-0.64659,-0.331438
0.0847298,0.0285872,0.617184,0.278645,0.735827,0.910951,-0.348737,0.220341,-0.0146344,-0.561127,-0.8276
-0.0698759,0.164964,1.52813,-0.0700919,0.956168,0.494968,-0.768677,-0.405145,-0.744185,-0.13432,-0.654329
0.0932737,-0.00571906,2.0231,-0.838769,0.551023,-0.263834,-0.584833,-0.767047,-0.807508,0.568861,-0.155975
0.0303134,-0.13706,1.75927,-1.4236,-0.216025,-0.712842,0.148951,-0.685325,-0.287014,0.829649,0.478858
0.00562666,-0.141928,1.04643,-1.27465,-0.901349,-0.574688,0.806854,-0.136822,0.376953,0.409379,0.830852
0.0642113,-0.313622,0.471739,-0.467796,-1.03817,0.144733,0.924067,0.353768,0.729041,-0.341323,0.593294
0.0958828,0.0583744,0.616472,0.456271,-0.684403,0.619618,0.300536,0.725087,0.408778,-0.91218,0.028765
0.190951,-0.336356,1.23609,0.756807,0.0406838,0.899147,-0.349775,0.263043,-0.0930336,-0.740064,-0.666071
-0.098727,-0.144728,2.13524,0.407032,0.303726,0.539001,-0.707259,-0.457453,-0.79578,-0.249586,-0.551762
0.0104656,-0.0958106,2.67424,-0.300227,-0.153726,-0.250624,-0.573247,-0.780113,-0.916744,0.399475,0.000974319
0.0339913,-0.25273,2.42361,-0.873474,-0.933839,-0.761537,0.124153,-0.636119,-0.371362,0.720804,0.585262
0.0477078,-0.281666,1.66208,-0.749321,-1.56996,-0.594866,0.797746,-0.0986732,0.383044,0.389247,0.837714
0.136026,-0.360361,1.06721,0.0484254,-1.66863,0.141499,0.931683,0.33458,0.79269,-0.309089,0.525458
0.0458836,-0.0679211,1.20871,0.980109,-1.33405,0.74245,0.361122,0.564233,0.41568,-0.908849,0.0347084
0.234293,-0.0686749,1.95116,1.34123,-0.769818,0.828509,-0.4504,0.332736,-0.18482,-0.78084,-0.596767
-0.0436104,-0.223095,2.77967,0.89083,-0.437082,0.477911,-0.773879,-0.415587,-0.782505,-0.160111,-0.601706
0.0322837,-0.181369,3.25758,0.116952,-0.852669,-0.225339,-0.493863,-0.839834,-0.850521,0.520173,-0.0776811
0.0687786,-0.100493,3.03224,-0.376912,-1.6925,-0.748692,0.157817,-0.643859,-0.326618,0.757365,0.565437
0.0196492,-0.0748896,2.28355,-0.219094,-2.33636,-0.172418,-0.441376,-0.880602,-0.775904,0.611606,-0.154631
