beta=1
L=20
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,-0.661646,-0.730315,-0.169898,-0.120111,0.326891,-0.937398
-0.107075,-0.0337057,-0.661646,-0.730315,-0.169898,0.191117,-0.917677,-0.348344,-0.224154,0.304705,-0.925694
0.0728205,0.0559162,-0.470529,-1.64799,-0.518242,-0.664129,-0.742426,-0.0879553,-0.168998,0.263685,-0.949689
-0.0896276,-0.0999485,-1.13466,-2.39042,-0.606197,0.242613,-0.919932,-0.308001,-0.25554,0.245674,-0.935064
0.0901386,0.0790522,-0.892044,-3.31035,-0.914198,-0.635792,-0.771,-0.0364177,-0.184514,0.197631,-0.962755
-0.0867718,0.306377,-1.52784,-4.08135,-0.950615,-0.925253,0.275304,0.26099,-0.181875,0.281832,-0.942068
-0.0638081,-0.0479872,-2.45309,-3.80605,-0.689626,-0.368196,0.869936,0.32809,-0.122295,0.304499,-0.944629
-0.166584,-0.0179052,-2.82128,-2.93611,-0.361536,-0.953385,0.230606,0.194621,-0.0718723,0.452866,-0.888677
-0.0799915,0.0185398,-3.77467,-2.7055,-0.166915,-0.354955,0.820327,0.448409,0.00229922,0.480406,-0.877043
0.0554417,-0.0301182,-4.12963,-1.88518,0.281494,0.476942,0.769533,0.42467,-0.045592,0.504175,-0.862397
0.0464272,0.0944051,-3.65268,-1.11564,0.706164,-0.293573,0.820667,0.490225,-0.0883817,0.487324,-0.868737
0.101709,-0.130995,-3.94626,-0.294977,1.19639,0.443899,0.793938,0.415471,-0.17191,0.530497,-0.830072
0.123214,0.10962,-3.50236,0.498961,1.61186,0.977345,0.187028,-0.0990798,-0.196228,0.625282,-0.755326
-0.143035,0.110233,-2.52501,0.685989,1.51278,0.641281,0.656325,0.397487,-0.078839,0.571648,-0.816703
-0.0505666,-0.0990296,-1.88373,1.34231,1.91027,0.993228,0.114043,-0.0221744,-0.0796502,0.529473,-0.844579
0.0509643,-0.0619378,-0.890503,1.45636,1.88809,0.507502,0.749223,0.425566,-0.12158,0.55122,-0.825454
-0.0369367,0.0278227,-0.383001,2.20558,2.31366,0.986014,0.162901,-0.0352023,-0.116237,0.520809,-0.845722
-0.099312,0.0505511,0.603014,2.36848,2.27846,0.569917,0.730032,0.377159,-0.0322367,0.478508,-0.877491
0.0446108,-0.0300959,1.17293,3.09851,2.65562,0.994124,0.105832,0.0227193,-0.0354962,0.517027,-0.855233
-0.068367,0.154784,2.16705,3.20435,2.67833,0.668724,0.643012,0.373289,0.0217607,0.484921,-0.874287
