beta=1
L=50
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,0.137967,-0.748777,-0.648304,0.899024,-0.179984,0.399201
0.0110475,-0.130869,0.137967,-0.748777,-0.648304,0.384867,-0.103733,-0.917124,0.897265,-0.190836,0.398118
0.12563,-0.00653783,0.522834,-0.85251,-1.56543,0.410629,0.688945,-0.597276,0.910613,-0.276404,0.307222
-0.111775,-0.0371484,0.933463,-0.163566,-2.1627,0.238705,0.956682,0.166675,0.866066,-0.287366,0.409085
0.159396,-0.06344,1.17217,0.793116,-1.99603,-0.170563,0.615896,0.769142,0.928408,-0.161052,0.334845
-0.264633,-0.151853,1.0016,1.40901,-1.22689,-0.311978,-0.0749231,0.94713,0.876423,-0.407576,0.256446
0.0534606,-0.0439753,0.689626,1.33409,-0.279757,0.107366,0.688142,0.717589,0.900461,-0.373278,0.223233
0.0864072,0.0133742,0.796992,2.02223,0.437832,-0.263564,-0.0632424,0.962567,0.927193,-0.291942,0.234697
-0.0119703,-0.0857018,0.533428,1.95899,1.4004,-0.373596,-0.731696,0.570128,0.927573,-0.298522,0.224705
0.0499063,0.137852,0.159832,1.22729,1.97053,-0.26242,-0.117413,0.957784,0.941084,-0.250546,0.22713
0.110463,0.0384204,-0.102588,1.10988,2.92831,-0.324022,-0.840754,0.433753,0.927664,-0.192411,0.320028
-0.092071,0.136962,-0.42661,0.269125,3.36206,-0.0206415,-0.865811,-0.499945,0.957626,-0.160804,0.238945
-0.0256967,0.0939076,-0.447251,-0.596686,2.86212,-0.222068,-0.943817,0.244736,0.961543,-0.170378,0.215423
-0.0112331,-0.1409,-0.669319,-1.5405,3.10685,-0.0510082,-0.8842,-0.464316,0.964563,-0.16413,0.20659
0.0349173,-0.188162,-0.720327,-2.4247,2.64254,-0.25851,-0.80241,0.537875,0.959672,-0.149649,0.237982
-0.130784,-0.096567,-0.978837,-3.22711,3.18041,-0.0902624,-0.976228,-0.197055,0.986742,-0.11446,0.115063
0.0107866,0.118489,-1.0691,-4.20334,2.98336,-0.157494,-0.828222,0.537814,0.986525,-0.10752,0.123317
-0.083799,-0.0585771,-1.22659,-5.03156,3.52117,-0.0685022,-0.964896,-0.253542,0.995642,-0.0822389,0.0439703
-0.0346993,0.0591879,-1.2951,-5.99646,3.26763,-0.0949605,-0.834547,0.542691,0.994577,-0.102758,0.0160107
0.218952,-0.0722303,-1.39006,-6.83101,3.81032,-0.111382,-0.963458,-0.243605,0.960599,-0.16719,0.222027
-0.124393,0.125759,-1.50144,-7.79446,3.56672,-0.27165,-0.837084,0.474864,0.96232,-0.242456,0.123105
-0.0417808,0.0550718,-1.77309,-8.63155,4.04158,-0.171094,-0.887179,-0.428533,0.969981,-0.227964,0.0846776
0.183526,0.116825,-1.94418,-9.51873,3.61305,0.0747823,-0.141765,-0.987072,0.909578,-0.396037,0.125791
-0.114171,0.0441386,-1.8694,-9.66049,2.62598,-0.26108,-0.771299,-0.580461,0.939582,-0.340966,0.0304598
-0.00547816,-0.149343,-2.13048,-10.4318,2.04552,-0.0424748,-0.206757,-0.97747,0.941443,-0.335825,0.0301253
0.160773,-0.217058,-2.17296,-10.6385,1.06805,-0.350136,-0.901669,-0.253767,0.900889,-0.398349,0.172387
0.0573033,0.204762,-2.52309,-11.5402,0.814279,0.0779475,-0.268452,-0.960134,0.87458,-0.443892,0.195113
-0.0884637,-0.131627,-2.44514,-11.8087,-0.145855,-0.357228,-0.874344,-0.328498,0.903121,-0.413055,0.117298
-0.0453506,0.045739,-2.80237,-12.683,-0.474354,-0.02196,-0.312663,-0.94961,0.921575,-0.374557,0.102013
0.178766,0.139797,-2.82433,-12.9957,-1.42396,0.343201,0.576268,-0.741707,0.860483,-0.509474,0.00232644
0.0769415,-0.158329,-2.48113,-12.4194,-2.16567,-0.165292,-0.259729,-0.95143,0.819222,-0.573302,0.0141812
0.289966,0.0391723,-2.64642,-12.6791,-3.1171,0.349455,0.459628,-0.81647,0.649484,-0.746906,-0.142483
0.0104094,0.0549896,-2.29697,-12.2195,-3.93357,-0.265784,-0.0482098,-0.962826,0.642198,-0.753731,-0.139536
0.202584,0.0267544,-2.56275,-12.2677,-4.8964,0.412079,0.486573,-0.770349,0.496468,-0.828844,-0.257947
-0.0439955,-0.131341,-2.15067,-11.7811,-5.66675,0.827581,0.538303,-0.159184,0.50305,-0.837029,-0.215227
-0.0227895,0.077147,-1.32309,-11.2428,-5.82593,0.387004,0.442672,-0.808869,0.521147,-0.828685,-0.204173
0.0151243,0.106479,-0.936088,-10.8002,-6.6348,0.849729,0.526705,0.0232839,0.518396,-0.826648,-0.218905
-0.127507,-0.00429092,-0.0863584,-10.2735,-6.61152,0.457317,0.483736,-0.746231,0.605847,-0.783738,-0.136765
-0.0165618,0.0444277,0.370959,-9.78973,-7.35775,0.794909,0.601337,0.0807063,0.606663,-0.785796,-0.120352
-0.0866908,0.0438147,1.16587,-9.18839,-7.27704,0.477712,0.244396,0.843838,0.551386,-0.831188,-0.0714174
0.133634,-0.128854,1.64358,-8.944,-6.4332,0.823346,0.567482,-0.00815324,0.554352,-0.80721,-0.202748
-0.062038,-0.0395759,2.46693,-8.37652,-6.44136,0.635803,0.250201,0.730174,0.518361,-0.839336,-0.16376
-0.0482077,-0.179618,3.10273,-8.12632,-5.71118,0.113254,-0.132434,0.9847,0.476605,-0.862366,-0.170797
-0.123252,0.00088147,3.21598,-8.25875,-4.72648,0.748328,0.296148,0.59355,0.416361,-0.906284,-0.0727481
0.0335262,-0.0500985,3.96431,-7.9626,-4.13293,0.114219,-0.0253931,0.993131,0.446513,-0.891699,-0.0741528
0.286485,-0.0584802,4.07853,-7.98799,-3.1398,-0.587833,-0.336992,0.735451,0.611219,-0.780566,0.130873
-0.0871414,0.18625,3.4907,-8.32499,-2.40435,-0.114449,0.0967979,0.988702,0.540115,-0.829231,0.143707
0.0262094,-0.0292917,3.37625,-8.22819,-1.41565,-0.707336,-0.353732,0.612005,0.551349,-0.817897,0.164497
-0.0648394,-0.116825,2.66891,-8.58192,-0.803642,-0.810942,-0.576281,-0.10136,0.56777,-0.816869,0.101791
-0.0603217,0.18061,1.85797,-9.1582,-0.905002,-0.271082,-0.28955,-0.917974,0.610097,-0.789333,0.0688095
