beta=1
L=20
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,-0.0403265,0.060988,0.997324,0.0973646,0.993625,-0.0568249
-0.35681,-0.0681614,-0.0403265,0.060988,0.997324,-0.831966,0.136225,0.537844,0.298875,0.926756,0.227588
-0.0536826,-0.0118784,-0.872292,0.197213,1.53517,-0.171255,-0.181872,0.968295,0.348921,0.907919,0.232243
-0.0396369,-0.0610648,-1.04355,0.0153408,2.50346,-0.848677,0.203991,0.48799,0.36635,0.892188,0.264175
-0.0690757,0.107692,-1.89222,0.219332,2.99145,-0.142493,-0.234534,0.961608,0.42757,0.861615,0.273504
0.0129054,0.0526176,-2.03472,-0.0152019,3.95306,0.638891,-0.50145,0.583409,0.418855,0.862846,0.282943
-0.0287526,0.0305197,-1.39583,-0.516652,4.53647,0.899993,-0.354915,-0.253077,0.416082,0.872542,0.256018
0.170733,-0.0420271,-0.495833,-0.871567,4.28339,0.638246,-0.487384,0.595902,0.305092,0.870823,0.385468
-0.181731,0.0414539,0.142413,-1.35895,4.87929,0.945756,-0.24603,-0.212169,0.290813,0.932243,0.215294
0.104383,-0.0181206,1.08817,-1.60498,4.66712,0.695465,-0.362286,0.620546,0.222145,0.929693,0.293806
-0.00210331,0.0718616,1.78363,-1.96727,5.28767,0.958278,-0.152795,-0.241572,0.221913,0.930371,0.291829
-0.00324337,0.0580558,2.74191,-2.12006,5.0461,0.778415,-0.349447,0.521496,0.223959,0.930662,0.289329
-0.112534,-0.025798,3.52033,-2.46951,5.56759,0.952003,-0.141622,-0.271356,0.196054,0.962934,0.18526
0.00958223,-0.221891,4.47233,-2.61113,5.29624,0.631952,-0.270578,0.72624,0.190373,0.96256,0.192968
0.00857553,0.169087,5.10428,-2.88171,6.02248,0.964732,-0.1453,-0.219499,0.190523,0.960809,0.201361
0.0590643,0.027286,6.06901,-3.02701,5.80298,0.442567,0.100663,-0.891068,0.241196,0.943698,0.226403
0.0304247,0.00874821,6.51158,-2.92634,4.91191,-0.400377,0.309533,-0.862489,0.268081,0.939609,0.212763
0.0926748,0.0427756,6.1112,-2.61681,4.04942,0.392956,0.099107,-0.914201,0.346757,0.904811,0.247138
-0.062286,-0.0812704,6.50416,-2.51771,3.13522,-0.343288,0.372631,-0.862149,0.293714,0.914484,0.2783
-0.00874431,-0.0313991,6.16087,-2.14507,2.27307,-0.89957,0.363101,-0.242757,0.291126,0.912785,0.286478
