beta=1
L=20
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,-0.0355912,0.307377,0.950922,0.389049,0.880723,-0.270124
0.0515097,-0.130557,-0.0355912,0.307377,0.950922,0.605568,-0.0312251,0.795181,0.357282,0.90353,-0.236607
0.122279,-0.004329,0.569977,0.276152,1.7461,0.933612,-0.351214,0.0708281,0.357434,0.92663,-0.116608
-0.0273659,-0.181842,1.50359,-0.0750622,1.81693,0.726838,-0.349433,-0.591272,0.337872,0.931441,-0.135129
-0.170426,-0.150437,2.23043,-0.424495,1.22566,0.140396,-0.165261,-0.976206,0.173354,0.974844,-0.140099
0.0840645,0.119836,2.37082,-0.589757,0.249453,0.781508,-0.212954,-0.586426,0.21509,0.974282,-0.067158
-0.095458,0.058092,3.15233,-0.802711,-0.336973,-0.0209677,-0.0697983,-0.997341,0.121094,0.990038,-0.0718331
-0.164411,-0.0359608,3.13136,-0.872509,-1.33431,-0.761657,0.0522421,-0.645871,0.019907,0.998161,0.0572618
-0.19358,0.142036,2.36971,-0.820267,-1.98018,-0.947705,-0.0266264,0.318035,0.0549941,0.967983,0.244917
-0.09204,-0.0412841,1.422,-0.846894,-1.66215,-0.389987,-0.201275,0.898554,0.140637,0.951351,0.27414
-0.161285,-0.0523094,1.03202,-1.04817,-0.763596,0.417143,-0.300047,0.857883,0.279449,0.940547,0.193078
0.0389406,-0.0705368,1.44916,-1.34822,0.0942869,0.916013,-0.323712,0.236919,0.27067,0.934657,0.230553
-0.0400857,-0.0948041,2.36517,-1.67193,0.331206,0.853671,-0.118031,-0.507262,0.249391,0.947697,0.199187
0.0958454,-0.24092,3.21884,-1.78996,-0.176056,0.39686,0.0639225,-0.91565,0.339272,0.916709,0.211043
0.0480639,-0.362129,3.6157,-1.72604,-1.09171,-0.09298,0.238398,-0.966706,0.379485,0.906112,0.186955
0.232709,-0.314021,3.52272,-1.48764,-2.05841,-0.61068,0.326037,-0.721644,0.486187,0.873695,-0.0166952
0.0395949,-0.220996,2.91204,-1.1616,-2.78006,-0.870921,0.472105,-0.136431,0.48259,0.874046,-0.0561223
0.0325047,-0.267963,2.04112,-0.689497,-2.91649,-0.765853,0.442938,0.466128,0.462236,0.883162,-0.0797669
-0.122607,-0.235141,1.27527,-0.246558,-2.45036,-0.32038,0.281636,0.904454,0.56596,0.822552,-0.0556555
0.0425284,-0.228898,0.954888,0.0350776,-1.54591,0.208309,-0.0891534,0.973991,0.534538,0.844333,-0.037037
