beta=1
L=20
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,0.962336,-0.0278599,0.27043,0.250331,-0.297166,-0.921427
0.0736865,0.0934481,0.962336,-0.0278599,0.27043,0.782748,-0.337343,-0.522978,-0.580929,-0.0946483,-0.808432
-0.0696042,0.186025,1.74508,-0.365203,-0.252548,0.0117645,-0.456337,-0.889729,-0.987066,0.136971,-0.0833031
-0.193206,0.0948407,1.75685,-0.82154,-1.14228,-0.759675,-0.269649,-0.591763,-0.649294,0.263824,0.713312
-0.0531272,0.109173,0.997174,-1.09119,-1.73404,-0.973935,-0.0678126,0.216453,0.183431,0.325878,0.927446
-0.0147588,0.15136,0.023239,-1.159,-1.51759,-0.446811,0.0654285,0.892233,0.874201,0.243837,0.4199
-0.0424823,-0.0719946,-0.423572,-1.09357,-0.625354,-0.971122,-0.0777739,0.225552,0.210805,0.163021,0.963839
-0.157198,0.0499584,-1.39469,-1.17135,-0.399802,-0.448189,0.0278643,0.893505,0.893917,0.00704804,0.448176
-0.139186,-0.180514,-1.84288,-1.14348,0.493703,-0.954451,0.190237,0.229856,0.211321,-0.112842,0.970881
-0.120825,0.152788,-2.79733,-0.953246,0.723559,-0.479213,-0.111675,0.870565,0.842971,-0.334806,0.421076
0.0801514,0.0266749,-3.27655,-1.06492,1.59412,0.348836,-0.355495,0.867143,0.919591,-0.048602,-0.38986
0.184414,-0.00272204,-2.92771,-1.42042,2.46127,0.934513,-0.259115,0.24402,0.335547,0.41268,-0.84682
-0.117842,-0.107564,-1.9932,-1.67953,2.70529,0.349936,-0.387148,0.85303,0.91696,-0.0447337,-0.396464
-0.0557495,0.14378,-1.64326,-2.06668,3.55832,0.893354,-0.40946,0.185096,0.293957,0.22098,-0.929923
-0.0389323,0.063804,-0.749907,-2.47614,3.74341,0.768655,-0.143303,-0.623405,-0.522116,0.422479,-0.740882
0.0573896,-0.0409853,0.0187475,-2.61944,3.12001,0.0951973,0.273667,-0.957102,-0.903214,0.427955,0.0325292
-0.030408,-0.0859398,0.113945,-2.34578,2.16291,-0.605422,0.576994,-0.548218,-0.65482,0.0304266,0.755172
0.136062,-0.0713091,-0.491477,-1.76878,1.61469,0.168027,0.391701,-0.90462,-0.81307,0.573944,0.0974959
-0.0363487,-0.096912,-0.32345,-1.37708,0.710068,-0.472024,0.759032,-0.448403,-0.662095,0.0306141,0.748795
-0.0539095,0.0214122,-0.795474,-0.618049,0.261666,-0.823799,0.488105,0.288284,-0.0811309,-0.604825,0.792215
