beta=1
L=20
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,0.0741847,-0.886485,-0.456771,-0.926057,0.108712,-0.361386
-0.148562,-0.052699,0.0741847,-0.886485,-0.456771,0.335688,-0.156546,-0.928874,-0.94179,-0.0363573,-0.334229
0.155466,0.136474,0.409873,-1.04303,-1.38565,0.138535,-0.925415,-0.352726,-0.88823,0.041421,-0.457528
-0.13785,0.0679884,0.548408,-1.96845,-1.73837,0.423583,-0.353707,-0.833948,-0.902888,-0.0903721,-0.42027
-0.0537795,0.104343,0.971991,-2.32215,-2.57232,0.174497,-0.972796,-0.152376,-0.921756,-0.106959,-0.372726
-0.00562748,0.057824,1.14649,-3.29495,-2.72469,0.373841,-0.502875,-0.779333,-0.922205,-0.111939,-0.370145
0.118055,0.0526582,1.52033,-3.79782,-3.50403,0.134032,-0.989643,-0.0513965,-0.874237,-0.0936615,-0.476379
-0.106873,0.00895077,1.65436,-4.78747,-3.55542,0.44612,-0.545606,-0.70943,-0.889463,-0.182469,-0.419
-0.0195736,-0.0602689,2.10048,-5.33307,-4.26485,0.226909,-0.97199,-0.0612127,-0.897299,-0.18421,-0.401149
-0.101292,-0.143043,2.32739,-6.30506,-4.32607,0.428441,-0.375677,-0.821769,-0.898964,-0.268936,-0.345742
0.100559,-0.0118506,2.75583,-6.68074,-5.14784,0.344732,-0.922126,-0.175621,-0.866753,-0.240857,-0.436723
-0.0510398,0.118269,3.10056,-7.60287,-5.32346,0.50363,-0.448055,-0.73865,-0.863528,-0.286824,-0.414791
0.0344071,-0.0274311,3.60419,-8.05092,-6.06211,0.348129,-0.934329,-0.0763933,-0.850116,-0.280302,-0.445795
0.204206,-0.0596856,3.95232,-8.98525,-6.1385,0.534207,-0.362276,-0.763792,-0.836893,-0.0991361,-0.538314
-0.00942766,-0.00684203,4.48653,-9.34753,-6.90229,0.24677,-0.946154,-0.209518,-0.841478,-0.101976,-0.530581
0.0631267,0.0151353,4.7333,-10.2937,-7.11181,0.526293,-0.37075,-0.765219,-0.832818,-0.0431892,-0.55186
0.235308,0.0173626,5.25959,-10.6644,-7.87703,0.185756,-0.959324,-0.212584,-0.68934,0.0269439,-0.723936
-0.075911,0.0395988,5.44535,-11.6238,-8.08961,0.650926,-0.42152,-0.63136,-0.709826,-0.0430857,-0.703058
0.0239447,0.0280679,6.09627,-12.0453,-8.72097,0.180972,-0.975655,-0.123878,-0.693455,-0.0372684,-0.719535
-0.081807,-0.0163929,6.27725,-13.0209,-8.84485,0.659727,-0.431424,-0.615332,-0.715508,-0.110217,-0.689856
