beta=1
L=50
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,0.795708,0.517172,0.315248,-0.605653,0.684339,0.406036
0.0287409,0.120483,0.795708,0.517172,0.315248,0.965903,-0.140237,-0.217633,0.236969,0.817472,0.524963
0.115288,0.101676,1.76161,0.376935,0.0976148,0.770393,0.60782,0.192481,-0.585529,0.555036,0.590839
-0.0919289,-0.0564475,2.532,0.984755,0.290096,0.0388996,0.780021,0.624543,-0.986269,-0.0704187,0.149379
0.00342729,0.0710663,2.5709,1.76478,0.914639,-0.751677,0.479048,0.453315,-0.650356,-0.652633,-0.388724
0.0226512,-0.0675042,1.81923,2.24382,1.36795,-0.969113,-0.243637,0.0382267,0.177318,-0.7961,-0.578604
-0.160933,-0.042774,0.850115,2.00019,1.40618,-0.458489,-0.796823,-0.393524,0.826093,-0.218868,-0.519295
0.261473,0.0142051,0.391626,1.20336,1.01266,-0.934333,-0.326383,0.143167,0.242705,-0.87684,-0.415025
0.0220807,0.00375184,-0.542706,0.876982,1.15582,-0.400281,-0.885526,-0.235837,0.8844,-0.305888,-0.352518
-0.0273183,0.00959659,-0.942987,-0.00854407,0.919987,0.432853,-0.791738,-0.431032,0.860768,0.505048,-0.0632889
0.153558,-0.0229248,-0.510133,-0.800282,0.488954,0.946445,-0.116789,-0.301002,0.243854,0.869594,0.42935
-0.0747863,-0.173827,0.436311,-0.917071,0.187952,0.802269,0.518728,0.29544,-0.596247,0.672078,0.439091
0.075653,-0.203563,1.23858,-0.398343,0.483392,0.0618042,0.724401,0.686603,-0.993646,-0.0201709,0.110724
0.086903,-0.201135,1.30039,0.326058,1.17,-0.688134,0.304165,0.658752,-0.662648,-0.633295,-0.399794
0.0476548,-0.148609,0.612251,0.630223,1.82875,-0.894698,-0.398199,0.202369,0.13171,-0.668105,-0.732317
0.190661,-0.184219,-0.282447,0.232024,2.03112,-0.403147,-0.865982,-0.295885,0.844981,-0.228097,-0.483713
0.205158,-0.137355,-0.685595,-0.633957,1.73523,0.422703,-0.789868,-0.444333,0.898933,0.427683,0.0949017
-0.013291,0.153537,-0.262892,-1.42382,1.2909,0.935191,-0.0973494,-0.340502,0.235665,0.888756,0.39316
0.174462,-0.25054,0.672299,-1.52117,0.950396,0.837026,0.473086,0.274912,-0.523805,0.547579,0.652523
0.0959167,-0.0573444,1.50933,-1.04809,1.22531,0.133891,0.682834,0.7182,-0.96048,-0.0890465,0.263721
-0.0578066,0.0107378,1.64322,-0.365255,1.94351,-0.664311,0.368636,0.65023,-0.721418,-0.543827,-0.428728
-0.00512614,-0.21113,0.978906,0.00338095,2.59374,-0.915929,-0.345073,0.204937,0.06126,-0.624852,-0.778336
0.15729,-0.263555,0.062977,-0.341692,2.79868,-0.439111,-0.853591,-0.280292,0.80323,-0.23322,-0.548115
-0.102656,-0.188577,-0.376134,-1.19528,2.51838,0.433039,-0.782632,-0.447174,0.801038,0.561611,-0.207198
0.0800142,-0.300663,0.0569055,-1.97792,2.07121,0.972934,-0.155577,-0.170867,0.200073,0.937116,0.285978
0.0263702,-0.156279,1.02984,-2.13349,1.90034,0.778994,0.57116,0.258738,-0.626934,0.702168,0.337513
0.0386843,-0.309956,1.80883,-1.56233,2.15908,0.0180516,0.732446,0.680586,-0.998757,-0.0184265,0.0463212
0.0397829,-0.271261,1.82688,-0.829887,2.83967,-0.717564,0.254268,0.648421,-0.64021,-0.607422,-0.470287
0.109252,-0.0870264,1.10932,-0.575619,3.48809,-0.923291,-0.370386,0.101725,0.183739,-0.658467,-0.729836
0.16306,-0.284402,0.18603,-0.946005,3.58981,-0.365213,-0.890522,-0.271275,0.876868,-0.231222,-0.421472
0.0958718,-0.0632493,-0.179183,-1.83653,3.31854,0.465328,-0.766595,-0.442496,0.861741,0.506538,0.0286617
-0.0409266,-0.136483,0.286145,-2.60312,2.87604,0.982078,-0.136515,-0.12995,0.172261,0.929912,0.324945
0.0962924,-0.0660312,1.26822,-2.73964,2.74609,0.759452,0.608563,0.229964,-0.644424,0.655268,0.394134
