beta=1
L=20
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,-0.607538,0.787688,-0.102206,-0.260057,-0.318842,-0.911433
0.0886139,-0.0682065,-0.607538,0.787688,-0.102206,-0.226929,0.703498,0.673494,-0.699729,0.363228,-0.615179
-0.135426,0.00623144,-0.834466,1.49119,0.571288,-0.682184,0.729032,-0.0560036,-0.170121,-0.232746,-0.957543
0.00484551,-0.161839,-1.51665,2.22022,0.515284,-0.407307,0.527267,0.745715,-0.640656,0.416969,-0.644746
0.086528,0.00119615,-1.92396,2.74748,1.261,-0.753442,0.656732,-0.0320702,-0.142567,-0.210787,-0.96708
0.0753324,0.00438688,-2.6774,3.40422,1.22893,-0.360773,0.580393,0.730059,-0.721648,0.322159,-0.61273
-0.0283116,-0.0753971,-3.03817,3.98461,1.95899,-0.830486,0.557025,0.0040612,-0.15698,-0.227038,-0.961151
-0.194509,0.113932,-3.86866,4.54163,1.96305,-0.32208,0.606306,0.727088,-0.626862,0.438949,-0.643714
0.0178181,0.0307818,-4.19074,5.14794,2.69014,-0.667776,0.742644,-0.0505455,-0.156811,-0.206733,-0.965749
-0.0179312,0.0156804,-4.85851,5.89059,2.63959,-0.286762,0.637806,0.714822,-0.604498,0.458391,-0.651506
0.0106126,-0.0594299,-5.14528,6.52839,3.35441,-0.693141,0.719654,-0.0406633,-0.165445,-0.21375,-0.962777
-0.0100871,-0.0907765,-5.83842,7.24805,3.31375,-0.370548,0.556965,0.743292,-0.63568,0.431401,-0.640159
-0.0518785,0.128872,-6.20896,7.80501,4.05704,-0.633518,0.772245,-0.047871,-0.0768093,-0.124335,-0.989263
0.105666,-0.0926044,-6.84248,8.57726,4.00917,-0.403066,0.517737,0.754643,-0.61886,0.453279,-0.641523
0.0884463,0.0126778,-7.24555,9.09499,4.76382,-0.726114,0.687064,-0.0264905,-0.135475,-0.180735,-0.974157
0.0361672,-0.104175,-7.97166,9.78206,4.73733,-0.631046,0.219645,-0.744,0.454352,-0.672713,-0.583971
-0.0954767,0.0950152,-8.60271,10.0017,3.99333,-0.685614,0.727053,-0.0364319,-0.14361,-0.184148,-0.972351
-0.263922,-0.188083,-9.28832,10.7288,3.95689,-0.640735,0.156293,-0.751685,0.613297,-0.484792,-0.623573
-0.00482334,-0.0406919,-9.92906,10.885,3.20521,-0.897932,0.439676,0.0200921,-0.109756,-0.179474,-0.977621
0.0344623,0.152129,-10.827,11.3247,3.2253,-0.575035,0.266545,-0.773491,0.613693,-0.484692,-0.623261
