beta=1
L=20
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,0.440312,0.672606,0.59475,-0.897083,0.302288,0.322279
-0.070371,-0.0911392,0.440312,0.672606,0.59475,0.972152,0.130821,0.194436,-0.224416,0.758677,0.611594
-0.0907093,0.127407,1.41246,0.803426,0.789186,0.45271,0.742917,0.49308,-0.886932,0.43205,0.163352
-0.298017,-0.0174635,1.86517,1.54634,1.28227,0.971438,0.127567,0.200086,-0.170329,0.961943,0.213668
0.116741,-0.0103344,2.83661,1.67391,1.48235,0.478292,0.824717,0.301793,-0.875516,0.474641,0.0904872
0.0136095,-0.0544545,3.3149,2.49863,1.78415,0.976347,0.132492,0.17086,-0.180194,0.935354,0.304372
-0.00132339,0.0390211,4.29125,2.63112,1.95501,0.478743,0.822439,0.307245,-0.872005,0.486105,0.0575237
-0.0154505,-0.153996,4.76999,3.45356,2.26225,0.951304,0.0950739,0.293228,-0.17512,0.949523,0.260266
0.0521092,0.0111203,5.7213,3.54863,2.55548,0.464877,0.801324,0.376522,-0.861568,0.507387,-0.0160875
0.227103,-0.0919203,6.18617,4.34996,2.932,0.94356,0.0616985,0.325404,-0.222196,0.846508,0.48379
-0.0264466,-0.0449329,7.12973,4.41165,3.2574,0.408632,0.672818,0.616714,-0.866316,0.49859,0.0300705
-0.000473221,-0.111771,7.53837,5.08447,3.87412,0.892557,-0.0252014,0.450229,-0.227488,0.836909,0.497828
-0.00425146,-0.173221,8.43092,5.05927,4.32435,0.311434,0.531208,0.787926,-0.835147,0.548589,-0.0397515
0.0512067,-0.00635356,8.74236,5.59048,5.11227,0.842222,-0.0963748,0.530448,-0.306378,0.724023,0.617999
0.00974012,-0.0475543,9.58458,5.4941,5.64272,0.270902,0.468742,0.84077,-0.85162,0.523862,-0.0176631
-0.00352829,-0.0211652,9.85548,5.96285,6.48349,0.82261,-0.127104,0.554218,-0.323826,0.696463,0.640372
0.137043,-0.101908,10.6781,5.83574,7.03771,0.22926,0.380233,0.896026,-0.899026,0.435558,0.045196
0.0329309,0.0638675,10.9074,6.21597,7.93373,0.864218,-0.0457576,0.501033,-0.399681,0.542429,0.738936
-0.198068,0.181989,11.7716,6.17022,8.43477,0.31651,0.521694,0.792248,-0.84497,0.534619,-0.0144726
0.00690988,-0.0742876,12.0881,6.69191,9.22702,0.821642,-0.136647,0.553383,-0.288754,0.737267,0.610785
