beta=1
L=50
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,-0.398075,0.803977,-0.441766,-0.800736,-0.539503,-0.260306
0.00794288,-0.219528,-0.398075,0.803977,-0.441766,-0.576607,0.582679,0.572721,-0.800491,-0.543198,-0.253279
-0.168978,-0.028805,-0.974682,1.38666,0.130955,-0.503424,0.835555,-0.220028,-0.731035,-0.547638,-0.407039
0.0730685,0.0326499,-1.47811,2.22221,-0.0890728,-0.679451,0.512063,0.525488,-0.721684,-0.595605,-0.352741
-0.0147354,0.00438853,-2.15756,2.73427,0.436416,-0.52845,0.803226,-0.274896,-0.715053,-0.595665,-0.365899
0.0790957,0.221348,-2.68601,3.5375,0.16152,-0.710684,0.621427,0.329783,-0.703124,-0.642966,-0.303664
0.051299,0.0287975,-3.39669,4.15893,0.491303,-0.450768,0.731954,-0.510933,-0.729766,-0.631803,-0.261278
0.0813791,0.204839,-3.84746,4.89088,-0.0196296,-0.68639,0.717429,0.119014,-0.725172,-0.662903,-0.18624
0.12712,-0.0524285,-4.53385,5.60831,0.0993843,-0.4136,0.643442,-0.644141,-0.791313,-0.603954,-0.095201
-0.10796,-0.0891034,-4.94745,6.25175,-0.544757,-0.612026,0.743556,0.269347,-0.790806,-0.578451,-0.20005
-0.0198938,0.0297091,-5.55948,6.99531,-0.275409,-0.37601,0.717747,-0.586051,-0.781276,-0.585632,-0.215968
0.0783202,0.0805304,-5.93549,7.71305,-0.86146,0.193734,0.0910277,-0.976822,-0.826276,-0.521649,-0.212487
0.150273,0.0565771,-5.74175,7.80408,-1.83828,-0.268618,0.685076,-0.677137,-0.889334,-0.44644,-0.0988788
0.144112,-0.0557569,-6.01037,8.48916,-2.51542,0.101106,0.0367152,-0.994198,-0.943539,-0.313325,-0.107525
0.0971567,-0.112038,-5.90926,8.52587,-3.50962,-0.200989,0.822474,-0.532108,-0.965969,-0.256686,-0.0318887
-0.110291,0.116847,-6.11025,9.34835,-4.04173,0.0424088,0.0145037,-0.998995,-0.93163,-0.360639,-0.0447849
-0.0909836,-0.0947379,-6.06784,9.36285,-5.04072,-0.285175,0.781725,-0.554601,-0.904144,-0.411448,-0.115037
-0.0435501,-0.192737,-6.35302,10.1446,-5.59532,-0.0217591,0.294655,-0.955356,-0.884923,-0.450346,-0.118743
0.0675676,-0.0767836,-6.37478,10.4392,-6.55068,0.327714,-0.407736,-0.852264,-0.903812,-0.398047,-0.157104
-0.0651175,-0.0716954,-6.04706,10.0315,-7.40294,-0.0423988,0.438822,-0.897573,-0.874055,-0.451475,-0.179437
-0.118597,-0.111128,-6.08946,10.4703,-8.30051,0.298642,-0.240129,-0.923662,-0.82798,-0.546504,-0.125629
0.0802193,-0.209333,-5.79082,10.2302,-9.22418,-0.273112,0.614408,-0.740211,-0.86785,-0.489333,-0.0859608
-0.0623706,-0.108571,-6.06393,10.8446,-9.96439,0.0927108,-0.00331677,-0.995688,-0.836654,-0.54242,-0.0760959
0.124247,-0.14336,-5.97122,10.8413,-10.9601,-0.401039,0.729038,-0.554681,-0.881235,-0.4724,0.0162468
-0.142443,-0.105538,-6.37226,11.5703,-11.5148,-0.119724,0.157971,-0.980159,-0.805714,-0.592298,0.00295559
0.0972169,-0.0216357,-6.49198,11.7283,-12.4949,-0.530193,0.722562,-0.443621,-0.828312,-0.553156,0.0889841
0.145137,-0.0600103,-7.02218,12.4509,-12.9385,-0.216607,0.185859,-0.958404,-0.895678,-0.428387,0.119355
-0.017694,0.00383763,-7.23878,12.6367,-13.8969,-0.437791,0.802617,-0.405148,-0.894191,-0.435611,0.103271
0.0975485,-0.0390879,-7.67657,13.4393,-14.3021,-0.214735,0.22417,-0.950598,-0.928813,-0.347815,0.127792
0.0452414,-0.0388858,-7.89131,13.6635,-15.2527,-0.36881,0.864019,-0.34271,-0.928911,-0.329427,0.169124
0.201306,-0.0316992,-8.26012,14.5275,-15.5954,-0.260158,0.278123,-0.924643,-0.963281,-0.140608,0.228736
-0.0876801,0.213389,-8.52028,14.8056,-16.52,-0.226412,0.814808,-0.53369,-0.973626,-0.173504,0.148153
0.0293073,0.0575083,-8.74669,15.6204,-17.0537,-0.156613,0.0260819,-0.987316,-0.977845,-0.144673,0.151289
0.13035,0.0515123,-8.9033,15.6465,-18.041,-0.214521,0.752362,-0.622841,-0.965091,-0.0651695,0.253679
0.0454286,0.0484674,-9.11782,16.3989,-18.6639,-0.250119,-0.0843215,-0.964536,-0.967372,-0.0198152,0.252586
-0.15051,0.0687756,-9.36794,16.3146,-19.6284,-0.189875,0.672609,-0.715224,-0.981767,-0.123424,0.144565
-0.143389,-0.0687767,-9.55782,16.9872,-20.3436,-0.14545,-0.0778319,-0.986299,-0.951412,-0.262468,0.161018
-0.136656,-0.088331,-9.70327,16.9093,-21.3299,-0.317758,0.750782,-0.5791,-0.934673,-0.350718,0.0581715
0.071493,0.0437447,-10.021,17.6601,-21.909,-0.0637729,-0.00447503,-0.997954,-0.957091,-0.282981,0.0624305
0.0922638,0.0222594,-10.0848,17.6557,-22.907,-0.258872,0.728338,-0.634436,-0.964845,-0.225847,0.134417
-0.0816534,0.0177447,-10.3437,18.384,-23.5414,-0.122164,-0.061277,-0.990616,-0.942892,-0.304467,0.135112
0.0220171,-0.00331002,-10.4658,18.3227,-24.5321,0.163057,-0.77543,-0.610016,-0.949047,-0.292272,0.117846
0.153113,0.0520033,-10.3028,17.5473,-25.1421,-0.0991105,-0.10431,-0.989594,-0.983154,-0.143221,0.113562
-0.117281,-0.192018,-10.4019,17.443,-26.1317,0.00106105,-0.716406,-0.697683,-0.956078,-0.205225,0.209278
0.170641,-0.0301261,-10.4008,16.7266,-26.8293,-0.227628,0.0973681,-0.968868,-0.973656,-0.0364388,0.225091
-0.0686832,0.0843844,-10.6285,16.8239,-27.7982,-0.111159,-0.767909,-0.630841,-0.958642,-0.0845017,0.271782
0.0590795,0.076112,-10.7396,16.056,-28.4291,-0.271128,-0.0658423,-0.960289,-0.961604,-0.0255234,0.27325
-0.00900402,-0.0700593,-11.0107,15.9902,-29.3893,-0.154487,-0.774294,-0.613679,-0.959427,-0.0307138,0.280278
0.00785997,-0.0845729,-11.1652,15.2159,-30.003,-0.281281,0.0883743,-0.955547,-0.959621,-0.0228567,0.280367
0.0548113,0.0900181,-11.4465,15.3043,-30.9586,-0.163843,-0.777908,-0.606643,-0.970054,0.0152728,0.242409
