beta=1
L=50
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,-0.688758,0.714577,0.122443,-0.0211512,0.149012,-0.988609
0.0396742,0.0631941,-0.688758,0.714577,0.122443,0.191977,0.971395,0.139776,-0.0604542,0.15386,-0.986242
0.0711161,-0.00628396,-0.496781,1.68597,0.262219,0.879138,0.476111,0.0208401,-0.0935022,0.215201,-0.972083
-0.0260979,-0.0852493,0.382357,2.16208,0.283059,0.94601,-0.284041,-0.156161,-0.103625,0.19147,-0.976013
-0.154373,0.10746,1.32837,1.87804,0.126898,0.257914,-0.946062,-0.196081,-0.245154,0.132224,-0.960425
0.095348,0.0490938,1.58628,0.931979,-0.0691832,0.867435,-0.409466,-0.282655,-0.207131,0.219341,-0.953408
-0.0797773,0.0543914,2.45372,0.522513,-0.351838,0.142975,-0.958407,-0.247009,-0.282883,0.19959,-0.938158
0.094787,-0.0192266,2.59669,-0.435894,-0.598847,-0.632914,-0.773709,0.0281782,-0.214606,0.140351,-0.966564
0.0573172,0.0207823,1.96378,-1.2096,-0.570669,-0.975965,0.0139179,0.217483,-0.215613,0.0834033,-0.972911
-0.0251828,-0.0544155,0.987811,-1.19569,-0.353186,-0.598009,-0.799039,0.0626228,-0.234141,0.0994389,-0.967104
0.012271,-0.133847,0.389802,-1.99473,-0.290564,-0.96061,-0.174449,0.216325,-0.233906,0.0872324,-0.968338
0.0424139,0.125566,-0.570807,-2.16917,-0.074239,-0.590542,-0.804409,0.0646994,-0.198038,0.0667309,-0.97792
-0.207739,0.0583536,-1.16135,-2.97358,-0.00953962,-0.977482,0.00868321,0.210842,-0.200669,0.270852,-0.941473
0.0187947,-0.0402194,-2.13883,-2.9649,0.201302,-0.595998,0.728635,0.337456,-0.215682,0.259546,-0.941338
0.0471769,-0.144414,-2.73483,-2.23627,0.538759,0.0885855,0.963514,0.252573,-0.260241,0.267151,-0.92785
-0.231265,0.031305,-2.64624,-1.27275,0.791332,0.820763,0.568228,-0.0588666,-0.130404,0.0860335,-0.987721
-0.195112,-0.13,-1.82548,-0.704523,0.732465,0.974083,-0.152221,-0.167307,-0.183733,-0.101062,-0.977767
0.189388,-0.321463,-0.851398,-0.856744,0.565158,0.755927,-0.654516,-0.0135626,-0.0223055,-0.00504535,-0.999738
-0.0749308,0.333735,-0.0954708,-1.51126,0.551595,0.987832,-0.155493,0.00327374,-0.00908867,-0.0787271,-0.996855
-0.0490645,-0.0806173,0.892361,-1.66675,0.554869,0.568945,-0.820491,0.0556493,-0.051521,-0.103098,-0.993336
0.00540623,0.00180539,1.46131,-2.48724,0.610518,-0.281532,-0.952817,0.113485,-0.0463375,-0.104631,-0.993431
-0.107276,-0.170736,1.17977,-3.44006,0.724003,-0.844521,-0.529973,0.0768976,-0.0872256,-0.00554647,-0.996173
0.07614,-0.10967,0.335253,-3.97003,0.800901,-0.971047,0.220396,0.0921559,-0.111603,-0.0774534,-0.99073
0.0117249,0.142128,-0.635795,-3.74964,0.893057,-0.855675,-0.49992,0.133796,-0.104306,-0.0866306,-0.990765
-0.045864,-0.0490817,-1.49147,-4.24956,1.02685,-0.948492,0.308837,0.0705813,-0.0883337,-0.0438637,-0.995125
0.0663607,-0.224636,-2.43996,-3.94072,1.09743,-0.689821,-0.715934,0.107634,-0.0519558,-0.099332,-0.993697
-0.062876,-0.043028,-3.12978,-4.65666,1.20507,-0.99803,0.0436021,0.0451039,-0.0467226,-0.0368486,-0.998228
0.0129571,0.0142876,-4.12781,-4.61305,1.25017,-0.67126,-0.73891,0.0585094,-0.0370106,-0.0454252,-0.998282
-0.0493262,-0.0184642,-4.79907,-5.35196,1.30868,-0.998649,0.0390002,0.0343377,-0.0342152,0.0038038,-0.999407
0.0889799,0.027847,-5.79772,-5.31296,1.34302,-0.575724,0.817391,0.0203455,-0.105233,-0.049398,-0.99322
0.071257,-0.000894068,-6.37345,-4.49557,1.36336,0.266981,0.9607,-0.0760035,-0.173151,-0.0297629,-0.984445
-0.0739645,0.255972,-6.10646,-3.53487,1.28736,-0.343934,0.9376,0.0511522,-0.113257,0.0126555,-0.993485
0.163249,0.125564,-6.4504,-2.59727,1.33851,0.607175,0.790568,-0.0796346,-0.250532,0.0953705,-0.963399
0.0549851,0.196249,-5.84322,-1.8067,1.25888,0.947356,-0.165817,-0.273898,-0.2503,0.149912,-0.956492
-0.127464,-0.0994851,-4.89587,-1.97252,0.98498,0.520591,-0.807945,-0.276062,-0.357831,0.0871033,-0.929715
-0.0628805,-0.0998025,-4.37528,-2.78047,0.708919,-0.186958,-0.982003,-0.0267795,-0.413204,0.10334,-0.904756
-0.130899,-0.128835,-4.56223,-3.76247,0.682139,0.653225,-0.648439,-0.390928,-0.501842,0.0158299,-0.864814
-0.0776151,0.198387,-3.90901,-4.41091,0.291211,-0.191142,-0.975296,0.110736,-0.567359,0.0177172,-0.82328
-0.0125346,0.096267,-4.10015,-5.3862,0.401947,0.437824,-0.84081,-0.318355,-0.575494,0.00995235,-0.817745
0.0495889,-0.103073,-3.66233,-6.22701,0.0835922,-0.177313,-0.976917,0.119133,-0.536374,-0.00556585,-0.843962
0.0290234,-0.0944419,-3.83964,-7.20393,0.202725,0.590716,-0.718359,-0.367445,-0.51708,0.0125683,-0.855845
-0.0334273,0.189212,-3.24892,-7.92229,-0.16472,-0.263999,-0.952333,0.152861,-0.545162,0.0165899,-0.838167
0.0284467,-0.117522,-3.51292,-8.87462,-0.0118588,-0.742626,-0.469361,0.477709,-0.536534,-0.00991982,-0.84382
-0.112628,0.0853263,-4.25555,-9.34398,0.46585,-0.2204,-0.961728,0.162796,-0.626346,0.0115979,-0.779459
0.0909819,-0.0724863,-4.47595,-10.3057,0.628646,-0.692208,-0.457861,0.557864,-0.596564,-0.0720094,-0.799329
0.0863441,0.194926,-5.16816,-10.7636,1.18651,-0.692513,0.567976,0.44478,-0.61869,-0.150516,-0.771082
-0.125425,0.0318665,-5.86067,-10.1956,1.63129,-0.12055,0.988521,-0.091066,-0.517297,-0.140849,-0.844136
0.0382608,0.0338964,-5.98122,-9.20708,1.54022,0.602815,0.639154,-0.477595,-0.540898,-0.112676,-0.833507
0.0984917,-0.0142342,-5.37841,-8.56792,1.06263,-0.0875726,0.993273,-0.0757644,-0.620641,-0.113894,-0.775779
-0.0143795,-0.0826345,-5.46598,-7.57465,0.986864,0.501731,0.701639,-0.505934,-0.612547,-0.124792,-0.780521
