beta=1
L=20
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,-0.894616,0.313568,-0.318336,-0.118285,-0.853196,-0.508002
-0.104696,-0.0541875,-0.894616,0.313568,-0.318336,-0.280521,0.514661,-0.810205,-0.0166415,-0.846578,-0.532005
0.0194498,-0.0441768,-1.17514,0.828229,-1.12854,-0.938495,0.197467,-0.283257,-0.0241447,-0.855858,-0.516647
-0.179522,-0.184487,-2.11363,1.0257,-1.4118,-0.489007,0.432723,-0.757379,0.145181,-0.815789,-0.559831
-0.148468,0.0664727,-2.60264,1.45842,-2.16918,0.418993,0.571054,-0.705934,0.279867,-0.820838,-0.497894
-0.0564636,0.0759836,-2.18365,2.02947,-2.87511,0.947589,0.319134,0.0151153,0.291723,-0.844967,-0.44825
0.00204695,-0.278502,-1.23606,2.34861,-2.86,0.850452,0.015333,0.525829,0.293061,-0.843905,-0.449377
0.0243692,0.0966969,-0.385605,2.36394,-2.33417,0.105153,-0.440921,0.891365,0.315778,-0.835141,-0.45036
-0.0384329,0.0114047,-0.280452,1.92302,-1.4428,0.792992,-0.027827,0.608596,0.295883,-0.855641,-0.424654
-0.0828186,0.0945161,0.51254,1.89519,-0.834205,-0.00700097,-0.439162,0.89838,0.216163,-0.877825,-0.42743
-0.0370289,0.112901,0.505539,1.45603,0.0641753,0.678856,-0.175276,0.713045,0.193068,-0.894313,-0.403645
-0.0549796,-0.221099,1.1844,1.28075,0.77722,0.0951365,-0.403643,0.909957,0.139285,-0.899713,-0.413661
-0.0736104,0.0253979,1.27953,0.877111,1.68718,-0.723754,-0.376002,0.578621,0.0878513,-0.881894,-0.463189
0.131607,-0.0268113,0.555777,0.501109,2.2658,-0.99084,-0.0250175,-0.132701,0.0698051,-0.936101,-0.344735
0.0918173,0.244672,-0.435063,0.476091,2.1331,-0.858791,-0.252031,0.446048,0.133443,-0.950619,-0.280207
-0.0525256,0.0584438,-1.29385,0.22406,2.57914,-0.902922,0.00316478,-0.429793,0.151956,-0.933041,-0.326104
-0.121575,0.0292093,-2.19678,0.227225,2.14935,-0.22853,0.291251,-0.928949,0.266618,-0.898995,-0.347451
0.140434,-0.128415,-2.42531,0.518477,1.2204,0.477012,0.452591,-0.753406,0.156656,-0.887275,-0.433823
0.064565,-0.0203537,-1.94829,0.971067,0.466996,0.968355,0.225127,-0.107733,0.145133,-0.859122,-0.49076
0.0159463,-0.0582943,-0.979939,1.19619,0.359263,0.802154,-0.18729,0.566984,0.155077,-0.851611,-0.500709
